id,node_id,position
13287318,122614496,2
13287325,122614546,3
13287332,122614558,11
13287340,122614609,2
13287342,122614606,2
13287347,122614639,2
13287355,122614705,12
13287371,122614806,2
13287399,122614878,1
13287402,122614887,1
13287415,122614989,1
13287423,122615030,2
13287433,122615078,2
13287453,122615261,2
13287455,354067597,4
13287461,122615300,15
13287564,122615755,1
13287597,122615944,1
13287606,122616021,8
13287613,122616128,1
13287617,122616134,1
13287709,122616582,1
13287711,122614558,1
13287713,122614578,1
13287714,122616606,2
13287721,122616603,2
13287723,122616624,2
13287766,122616863,1
13287776,793835019,4
13287802,122616997,6
13287804,122617006,1
13287811,122617048,1
13287827,122617128,2
13287829,122617136,1
13287832,122617143,1
13287834,122617150,3
13287836,122617154,2
13287848,122617198,2
13287882,122617341,1
13287895,122617384,1
13287964,122617808,1
13287965,122617815,2
13287966,122617823,1
13287970,786719501,3
13287972,122617840,8
13288018,122618210,1
13288053,813762547,8
13288069,122618448,2
13288074,4598587352,10
13288090,296091928,31
13288102,122618621,2
13288105,122618630,2
13288106,122618640,2
13288132,1819591880,18
13288134,122578541,13
13288150,762899594,4
13288157,122618911,1
13288166,122618976,1
13288197,122619105,1
13288198,122619117,1
13288199,122619127,1
13288203,3581672058,4
13288206,122619153,1
13288210,354226209,5
13288222,122619211,1
13288253,122619366,1
13288255,122619376,1
13288299,122619590,1
13288314,122619643,1
13288325,122619683,2
13288341,122619788,1
13288343,122619795,2
13288345,122568946,2
13288347,122619810,2
13288358,122619913,5
13288360,122619961,5
13288392,122620237,10
13288459,122620648,8
13288465,122620677,8
13288469,122620713,29
13288481,122620753,4
13288493,353381478,15
13288499,122620824,2
13288517,122620929,7
13288518,122620939,1
13288535,122621045,3
13288536,122621058,2
13288553,122621189,21
13288557,122621218,13
13288559,122621193,6
13288561,122621236,9
13288572,122621326,1
13288573,122621336,6
13288576,122621355,6
13288589,122621414,2
13288592,122621429,8
13288595,353450673,3
13288605,122621536,15
13288608,122621559,1
13288614,122621603,11
13288676,122622125,1
13288742,122622476,74
13288758,122622555,1
13288773,122622662,3
13288781,122622717,2
13288786,122622733,4
13288789,122622748,4
13288799,122622801,8
13288815,122622879,2
13288849,122623016,25
13288879,122623205,1
13288891,122623277,3
13288898,757582798,49
13288900,122623350,9
13288910,122623406,1
13288933,353354352,14
13288953,122623975,7
13288958,122623997,1
13289021,122624360,2
13289035,122624536,2
13289046,343723901,8
13289063,3513626701,1
13289079,122624865,13
13289082,122624875,18
13289085,3620278143,24
13289088,122624903,1
13289103,122625000,6
13289105,122625006,1
13289126,122625098,3
13289157,122625242,2
13289165,122625304,10
13289171,353679298,7
13289173,353679538,7
13289194,122625420,3
13289225,122625536,9
13289234,122625581,1
13289242,122625616,11
13289287,122625816,1
13289294,122625860,19
13289299,353678444,3
13289312,122625988,9
13289313,3527304189,1
13289322,122626042,15
13289323,122626052,1
13289326,122626058,1
13289329,122626092,18
13289336,122626124,14
13289363,355983985,23
13289370,122626266,3
13289420,343479169,7
13289443,122626668,12
13289476,353180696,10
13289479,122626841,3
13289502,122626895,6
13289537,122627030,15
13289540,122627054,2
13289553,122627146,27
13289575,122627272,6
13289607,122627450,12
13289646,122627636,15
13289648,122627662,8
13289652,122627690,13
13289671,122627768,2
13289675,122627787,5
13289705,355283835,12
13289750,343384867,2
13289753,122628217,11
13289807,122628528,3
13289815,560279289,5
13289872,122628916,1
13289876,122628936,1
13289878,122628957,5
13289937,122629224,8
13289945,122629280,1
13289948,122629301,7
13289981,122629478,1
13290021,122629676,5
13290033,122629769,9
13290135,122630340,1
13290136,122630349,2
13290176,122630486,7
13290193,4405124350,51
13290195,122630627,13
13290197,122630640,1
13290203,122630667,2
13290273,122631241,3
13290283,122631346,12
13290292,122631444,22
13290313,122578383,3
13290348,122631710,14
13290399,122631821,3
13290422,122631875,11
13290431,122631905,28
13290458,122631980,1
13290468,122632053,1
13290473,122632082,7
13290480,122632148,4
13290482,3375489320,3
13290496,122632276,5
13290509,122632370,1
13290537,122632576,9
13290544,122632594,8
13290547,122632610,18
13290558,813762048,3
13290575,122632758,5
13290576,2938262441,8
13290579,122632816,13
13290588,122632900,2
13290610,122632984,3
13290624,122633106,7
13290627,353067790,3
13290639,122633156,5
13290660,122633305,5
13290674,122633389,16
13290691,122633484,2
13290721,122633620,21
13290731,122633707,5
13290744,122633811,5
13290750,122633834,2
13290764,3105477461,12
13290856,122634593,10
13290864,122634655,4
13290866,122634664,9
13290876,122634721,11
13290894,122634827,6
13290912,122634931,2
13290946,122635080,3
13290955,122635100,3
13290959,122623791,4
13290962,122635161,6
13290973,122635254,4
13290976,122635265,26
13290984,122635356,1
13290989,122635380,10
13290993,122635395,1
13291000,122635433,5
13291024,122635729,7
13291028,122635762,2
13291029,1831647613,4
13291057,122636012,6
13291061,122636064,1
13291069,122636105,1
13291070,122636112,6
13291097,122636347,12
13291098,4493490190,13
13291104,122636404,18
13291106,343489052,4
13291144,122636610,1
13291146,122636617,2
13291164,122636711,7
13291167,354007496,4
13291171,1840719330,4
13291182,122636793,3
13291188,122636822,4
13291190,122636832,1
13291193,122636846,3
13291202,122636894,5
13291227,343472709,7
13291244,353761954,6
13291264,122637237,3
13291269,122637273,7
13291372,122637814,15
13291383,122637874,2
13291401,3588001870,13
13291411,122638004,18
13291426,122638071,14
13291443,122638185,8
13291451,122638219,6
13291464,122638292,2
13291497,122638534,8
13291509,122638582,13
13291525,122638657,7
13291534,122638721,1
13291552,122638827,13
13291562,122638878,10
13291567,122638909,5
13291615,353382489,2
13291620,122639256,8
13291645,122639419,2
13291659,122639472,9
13291702,122578522,2
13291706,122639779,7
13291709,122639768,4
13291723,122639925,8
13291725,122639936,17
13291729,122629236,19
13291731,122639998,1
